policy,P_int,Pd,Pfa,TTFI,avg_reward
DQN,0.06629999999999998,0.9495516416848527,0.01989778972553181,53.14,0.038934999999999956
sawtooth,0.028699999999999996,0.9814357864357866,0.01990092309981988,28.76,0.0004000000000000266
uniform_random,0.026800000000000004,0.9283008658008659,0.019472978723542315,29.5,-0.0020149999999999548
